Date,Open,High,Low,Close,Adj Close,Volume
2013-07-16,7.087200,7.141700,7.087200,7.087200,7.087200,0
2013-07-17,7.147200,7.147200,7.147200,7.141700,7.141700,0
2013-07-18,7.154700,7.154700,7.154700,7.147200,7.147200,0
2013-07-19,7.148200,7.148200,7.148200,7.154700,7.154700,0
2013-07-22,7.148200,7.180300,7.148200,7.148200,7.148200,0
2013-07-23,7.167700,7.167700,7.167700,7.180300,7.180300,0
2013-07-24,7.202800,7.202800,7.202800,7.167700,7.167700,0
2013-07-25,7.180600,7.180600,7.180600,7.202800,7.202800,0
2013-07-26,7.208400,7.208400,7.208400,7.180600,7.180600,0
2013-07-29,7.218300,7.218300,7.218300,7.208400,7.208400,0
2013-07-30,7.227000,7.227000,7.227000,7.218300,7.218300,0
2013-07-31,7.206600,7.206600,7.206600,7.227000,7.227000,0
2013-08-01,7.189800,7.189800,7.189800,7.206600,7.206600,0
2013-08-02,7.171200,7.171200,7.171200,7.189800,7.189800,0
2013-08-05,7.209000,7.209000,7.209000,7.171200,7.171200,0
2013-08-06,7.210100,7.210100,7.210100,7.209000,7.209000,0
2013-08-07,7.230400,7.230400,7.230400,7.210100,7.210100,0
2013-08-08,7.230400,7.230400,7.230400,7.230400,7.230400,0
2013-08-09,7.238000,7.238000,7.238000,7.230400,7.230400,0
2013-08-12,7.196900,7.196900,7.196900,7.238000,7.238000,0
2013-08-13,7.162800,7.162800,7.162800,7.196900,7.196900,0
2013-08-14,7.143100,7.143100,7.143100,7.162800,7.162800,0
2013-08-15,7.170700,7.170700,7.170700,7.143100,7.143100,0
2013-08-16,7.191700,7.191700,7.191700,7.170700,7.170700,0
2013-08-19,7.210900,7.210900,7.210900,7.191700,7.191700,0
2013-08-20,7.203900,7.203900,7.203900,7.210900,7.210900,0
2013-08-21,7.185700,7.185700,7.185700,7.203900,7.203900,0
2013-08-22,7.145400,7.145400,7.145400,7.185700,7.185700,0
2013-08-23,7.135300,7.135300,7.135300,7.145400,7.145400,0
2013-08-26,7.182900,7.182900,7.182900,7.135300,7.135300,0
2013-08-27,7.183800,7.183800,7.183800,7.182900,7.182900,0
2013-08-28,7.139000,7.139000,7.139000,7.183800,7.183800,0
2013-08-29,7.095500,7.095500,7.095500,7.139000,7.139000,0
2013-08-30,7.059600,7.059600,7.059600,7.095500,7.095500,0
2013-09-02,7.055200,7.055200,7.055200,7.059600,7.059600,0
2013-09-03,7.025500,7.025500,7.025500,7.055200,7.055200,0
2013-09-04,7.013900,7.013900,7.013900,7.025500,7.025500,0
2013-09-05,7.019200,7.019200,7.019200,7.013900,7.013900,0
2013-09-06,6.968000,6.968000,6.968000,7.019200,7.019200,0
2013-09-09,7.014900,7.014900,7.014900,6.968000,6.968000,0
2013-09-10,7.035800,7.035800,7.035800,7.014900,7.014900,0
2013-09-11,7.041700,7.041700,7.041700,7.035800,7.035800,0
2013-09-12,7.057000,7.057000,7.057000,7.041700,7.041700,0
2013-09-13,7.058500,7.058500,7.058500,7.057000,7.057000,0
2013-09-16,7.058500,7.088800,7.058500,7.058500,7.058500,0
2013-09-17,7.084000,7.084000,7.084000,7.088800,7.088800,0
2013-09-18,7.018800,7.018800,7.018800,7.084000,7.084000,0
2013-09-19,7.057200,7.057200,7.057200,7.018800,7.018800,0
2013-09-20,7.084000,7.084000,7.084000,7.057200,7.057200,0
2013-09-23,7.084000,7.125700,7.084000,7.084000,7.084000,0
2013-09-24,7.123200,7.123200,7.123200,7.125700,7.125700,0
2013-09-25,7.129000,7.129000,7.129000,7.123200,7.123200,0
2013-09-26,7.114900,7.114900,7.114900,7.129000,7.129000,0
2013-09-27,7.134400,7.134400,7.134400,7.114900,7.114900,0
2013-09-30,7.134400,7.134400,7.131700,7.134400,7.134400,0
2013-10-01,7.169800,7.169800,7.169800,7.131700,7.131700,0
2013-10-02,7.148900,7.148900,7.148900,7.169800,7.169800,0
2013-10-03,7.124000,7.124000,7.124000,7.148900,7.148900,0
2013-10-04,7.128400,7.128400,7.128400,7.124000,7.124000,0
2013-10-07,7.128400,7.128400,7.118700,7.128400,7.128400,0
2013-10-08,7.128500,7.128500,7.128500,7.118700,7.118700,0
2013-10-09,7.128900,7.128900,7.128900,7.128500,7.128500,0
2013-10-10,7.133600,7.133600,7.133600,7.128900,7.128900,0
2013-10-11,7.093800,7.093800,7.093800,7.133600,7.133600,0
2013-10-14,7.093800,7.095900,7.093800,7.093800,7.093800,0
2013-10-15,7.095900,7.095900,7.072200,7.095900,7.095900,0
2013-10-16,7.108300,7.108300,7.108300,7.072200,7.072200,0
2013-10-17,7.158200,7.158200,7.158200,7.108300,7.108300,0
2013-10-18,7.189100,7.189100,7.189100,7.158200,7.158200,0
2013-10-21,7.184900,7.184900,7.184900,7.189100,7.189100,0
2013-10-22,7.196200,7.196200,7.196200,7.184900,7.184900,0
2013-10-23,7.247000,7.247000,7.247000,7.196200,7.196200,0
2013-10-24,7.279700,7.279700,7.279700,7.247000,7.247000,0
2013-10-25,7.360300,7.360300,7.360300,7.279700,7.279700,0
2013-10-28,7.386900,7.386900,7.386900,7.360300,7.360300,0
2013-10-29,7.386900,7.448700,7.386900,7.386900,7.386900,0
2013-10-30,7.476400,7.476400,7.476400,7.448700,7.448700,0
2013-10-31,7.476400,7.476400,7.417400,7.476400,7.476400,0
2013-11-01,7.348600,7.348600,7.348600,7.417400,7.417400,0
2013-11-04,7.405900,7.405900,7.405900,7.348600,7.348600,0
2013-11-05,7.385200,7.385200,7.385200,7.405900,7.405900,0
2013-11-06,7.426700,7.426700,7.426700,7.385200,7.385200,0
2013-11-07,7.442100,7.442100,7.442100,7.426700,7.426700,0
2013-11-08,7.411800,7.411800,7.411800,7.442100,7.442100,0
2013-11-11,7.305000,7.305000,7.305000,7.411800,7.411800,0
2013-11-12,7.305000,7.365300,7.305000,7.305000,7.305000,0
2013-11-13,7.382700,7.382700,7.382700,7.365300,7.365300,0
2013-11-14,7.393500,7.393500,7.393500,7.382700,7.382700,0
2013-11-15,7.427900,7.427900,7.427900,7.393500,7.393500,0
2013-11-18,7.461000,7.461000,7.461000,7.427900,7.427900,0
2013-11-19,7.461000,7.461000,7.461000,7.427900,7.427900,0
2013-11-20,7.461000,7.461000,7.461000,7.427900,7.427900,0
2013-11-21,7.416400,7.416400,7.389700,7.461000,7.461000,0
2013-11-22,7.416400,7.416400,7.389700,7.461000,7.461000,0
2013-11-25,7.389000,7.389000,7.389000,7.355900,7.355900,0
2013-11-26,7.389000,7.389000,7.387600,7.389000,7.389000,0
2013-11-27,7.389000,7.389000,7.387600,7.389000,7.389000,0
2013-11-28,7.438900,7.438900,7.438900,7.387600,7.387600,0
2013-11-29,7.438900,7.476100,7.438900,7.438900,7.438900,0
2013-12-02,7.476100,7.476100,7.475500,7.476100,7.476100,0
2013-12-03,7.475500,7.497400,7.475500,7.475500,7.475500,0
2013-12-04,7.497400,7.519100,7.497400,7.497400,7.497400,0
2013-12-05,7.519100,7.538600,7.519100,7.519100,7.519100,0
2013-12-06,7.538600,7.585000,7.538600,7.538600,7.538600,0
2013-12-09,7.585000,7.618400,7.585000,7.585000,7.585000,0
2013-12-10,7.618400,7.647200,7.618400,7.618400,7.618400,0
2013-12-11,7.647200,7.666400,7.647200,7.647200,7.647200,0
2013-12-12,7.666400,7.666400,7.615900,7.666400,7.666400,0
2013-12-13,7.615900,7.615900,7.580300,7.615900,7.615900,0
2013-12-16,7.580300,7.614700,7.580300,7.580300,7.580300,0
2013-12-17,7.614700,7.614700,7.614700,7.614700,7.614700,0
2013-12-18,7.494600,7.494600,7.354100,7.614700,7.614700,0
2013-12-19,7.354100,7.368100,7.354100,7.354100,7.354100,0
2013-12-20,7.368100,7.383000,7.368100,7.368100,7.368100,0
2013-12-23,7.383000,7.468500,7.383000,7.383000,7.383000,0
2013-12-24,7.468500,7.500800,7.468500,7.468500,7.468500,0
2013-12-25,7.468500,7.500800,7.468500,7.468500,7.468500,0
2013-12-26,7.500800,7.500800,7.500800,7.500800,7.500800,0
2013-12-27,7.500800,7.594100,7.500800,7.500800,7.500800,0
2013-12-30,7.594100,7.594100,7.529300,7.594100,7.594100,0
2013-12-31,7.529300,7.529300,7.528500,7.529300,7.529300,0
2014-01-01,7.528500,7.528500,7.528500,7.528500,7.528500,0
2014-01-02,7.528500,7.528500,7.512600,7.528500,7.528500,0
2014-01-03,7.512600,7.512600,7.478700,7.512600,7.512600,0
2014-01-06,7.478700,7.478700,7.466500,7.478700,7.478700,0
2014-01-07,7.466500,7.491000,7.466500,7.466500,7.466500,0
2014-01-08,7.491000,7.491000,7.454300,7.491000,7.491000,0
2014-01-09,7.454300,7.464000,7.454300,7.454300,7.454300,0
2014-01-10,7.464000,7.464000,7.455000,7.464000,7.464000,0
2014-01-13,7.455000,7.459700,7.455000,7.455000,7.455000,0
2014-01-14,7.459700,7.465200,7.459700,7.459700,7.459700,0
2014-01-15,7.465200,7.465200,7.460100,7.465200,7.465200,0
2014-01-16,7.460100,7.460100,7.457300,7.460100,7.460100,0
2014-01-17,7.457300,7.462100,7.457300,7.457300,7.457300,0
2014-01-20,7.462100,7.462100,7.451000,7.462100,7.462100,0
2014-01-21,7.451000,7.451000,7.432500,7.451000,7.451000,0
2014-01-22,7.432500,7.432500,7.430400,7.432500,7.432500,0
2014-01-23,7.430400,7.480000,7.430400,7.430400,7.430400,0
